Name,Rating,Rating_count,Description,highly_rated_for
John Deere,4.0,(4k),Industrial Machinery | Hyderabad / Secunderabad +155 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Tata Communications,3.9,(4k),Telecom | Hyderabad / Secunderabad +101 other locations,"Company Culture, Work Life Balance, Job Security"
Jindal Steel Limited,3.9,(4k),Iron & Steel | Hyderabad / Secunderabad +172 other locations,Skill Development / Learning
Hindalco Industries,4.2,(4k),Metals & Mining | Hyderabad / Secunderabad +128 other locations,"Job Security, Work Life Balance, Skill Development / Learning"
DCB Bank,3.8,(3.9k),Banking | Hyderabad / Secunderabad +338 other locations,Work Life Balance
HDFC Ergo General Insurance,3.9,(3.9k),Insurance | Hyderabad / Secunderabad +321 other locations,"Work Life Balance, Company Culture, Job Security"
State Street Corporation,3.5,(3.9k),Financial Services | Hyderabad / Secunderabad +34 other locations,
RBL Bank,3.5,(3.9k),Banking | Hyderabad / Secunderabad +285 other locations,
Cummins,4.3,(3.9k),Industrial Machinery | Hyderabad / Secunderabad +114 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
Oyo Rooms,3.1,(3.9k),Internet | Hyderabad / Secunderabad +120 other locations,
Alembic Pharmaceuticals,3.9,(3.8k),Pharma | Hyderabad / Secunderabad +187 other locations,Salary & Benefits
Reliance Communications,4.0,(3.8k),Telecom | Hyderabad / Secunderabad +467 other locations,"Skill Development / Learning, Company Culture, Work Life Balance"
Pidilite Industries,4.2,(3.8k),Chemicals | Hyderabad / Secunderabad +311 other locations,"Job Security, Work Life Balance, Company Culture"
Carelon Global Solutions,3.9,(3.8k),IT Services & Consulting | Hyderabad / Secunderabad +21 other locations,"Company Culture, Work Life Balance, Job Security"
Bank of America,4.1,(3.8k),Banking | Hyderabad / Secunderabad +35 other locations,"Job Security, Work Life Balance, Company Culture"
Subros,3.8,(3.8k),Auto Components | Hyderabad / Secunderabad +87 other locations,"Job Security, Skill Development / Learning, Company Culture"
Publicis Sapient,3.4,(3.8k),IT Services & Consulting | Hyderabad / Secunderabad +47 other locations,
PVR INOX,3.9,(3.8k),Media & Entertainment | Hyderabad / Secunderabad +150 other locations,
XpressBees,4.2,(3.8k),Logistics | Hyderabad / Secunderabad +473 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
American Express,4.1,(3.7k),Financial Services | Hyderabad / Secunderabad +53 other locations,"Company Culture, Work Life Balance, Job Security"
Viatris,4.1,(3.7k),Pharma | Hyderabad / Secunderabad +82 other locations,"Salary & Benefits, Job Security, Work Life Balance"
Automatic Data Processing (ADP),3.9,(3.7k),Software Product | Hyderabad / Secunderabad +40 other locations,"Job Security, Company Culture, Work Life Balance"
Sodexo,4.0,(3.7k),Facility Management Services | Hyderabad / Secunderabad +155 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
PNB MetLife,3.4,(3.7k),Insurance | Hyderabad / Secunderabad +420 other locations,
Aditya Birla Sun Life Insurance,4.0,(3.7k),Insurance | Hyderabad / Secunderabad +487 other locations,"Work Life Balance, Company Culture, Job Security"
Escorts Kubota Limited,4.1,(3.7k),Automobile | Hyderabad / Secunderabad +154 other locations,"Work Life Balance, Company Culture, Skill Development / Learning"
Grasim Industries,4.0,(3.7k),Building Material | Hyderabad / Secunderabad +238 other locations,"Job Security, Skill Development / Learning, Company Culture"
Kyndryl,3.9,(3.7k),IT Services & Consulting | Hyderabad / Secunderabad +36 other locations,"Work Life Balance, Company Culture, Skill Development / Learning"
Maersk,4.0,(3.6k),Logistics | Hyderabad / Secunderabad +49 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Birlasoft,3.5,(3.6k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,
Synechron,3.5,(3.6k),IT Services & Consulting | Hyderabad / Secunderabad +32 other locations,
Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +164 other locations,Job Security
Glenmark Pharmaceuticals,3.8,(3.6k),Pharma | Hyderabad / Secunderabad +180 other locations,
Dabur,3.9,(3.6k),FMCG | Hyderabad / Secunderabad +319 other locations,Salary & Benefits
Cogent E Services,3.2,(3.6k),BPO | Hyderabad / Secunderabad +55 other locations,
JK Cement,4.0,(3.6k),Building Material | Hyderabad / Secunderabad +324 other locations,Salary & Benefits
Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Hyderabad / Secunderabad +93 other locations,Job Security
Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Hyderabad / Secunderabad +89 other locations,"Work Life Balance, Company Culture, Work Satisfaction"
Kotak Mahindara Life Insurance,3.5,(3.6k),Insurance | Hyderabad / Secunderabad +255 other locations,
KPIT Technologies,3.0,(3.6k),Software Product | Hyderabad / Secunderabad +44 other locations,
